,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
10,Data Scientist/Decision Scientist,₹3L - ₹10L (Glassdoor Est.),"The Opportunity:
· 3 to 5 years work experience as a Data scientist in banking/consumer lending industry or consumer behavior/marketing Analytics domain
· Hands on experience with ML/programming tools such as Python, R, and SQL
· Proficiency in some of the following statistical techniques: Logistic Regression, CART based models, SVM, Clustering/Segmentatsion, PCA, Graph Analytics etc
· Experience in end to end production level ML based solution (requirement gathering, model development, scorecard development, documentation, testing, implementation, and automation) is a must
Show More
Report",4.0,"PayU
4.0",Bangalore,-1,-1,2002,Company - Private,Internet & Web Services,Information Technology,$10+ billion (USD),-1
11,Data Scientist/Decision Scientist,₹3L - ₹10L (Glassdoor Est.),"The Opportunity:
· 3 to 5 years work experience as a Data scientist in banking/consumer lending industry or consumer behavior/marketing Analytics domain
· Hands on experience with ML/programming tools such as Python, R, and SQL
· Proficiency in some of the following statistical techniques: Logistic Regression, CART based models, SVM, Clustering/Segmentatsion, PCA, Graph Analytics etc
· Experience in end to end production level ML based solution (requirement gathering, model development, scorecard development, documentation, testing, implementation, and automation) is a must
Show More
Report",4.0,"PayU
4.0",Bangalore,-1,-1,2002,Company - Private,Internet & Web Services,Information Technology,$10+ billion (USD),-1
12,Data Scientist,₹3L - ₹10L (Glassdoor Est.),"Designation - Data Scientist
Job Description:
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques

Show More
Report",4.3,"Sigma Solve Inc.
4.3",Ahmedabad,-1,-1,-1,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,-1
13,Looking for Data Scientist for Evalueserve,₹3L - ₹10L (Glassdoor Est.),"About Evalueserve
Evalueserve was founded in 2000 and is a global professional services provider offering research, analytics, and data management services. We’re powered by mind+machineTM, a unique combination of human expertise and best-in-class technologies that use smart algorithms to simplify key tasks. We work with clients across a wide range of industries and business ions, helping them to make better decisions faster and reach new levels of efficiency and effectiveness.
Why choose us:
We have our headquarters in Switzerland and have a global presence in over 17 locations including in the
US, UK, Chile, Romania, China and many more with more than 4500 employees. Our first center in India opened in 2000 in Gurugram and we are now located in Mumbai and Bengaluru as well, with over 3000+ professionals. Additionally, as a leading employer, we highly invest in our people’s development with specific Line of Business and Management Training Programs.
Show More
Report",4.0,"Evalueserve
4.0",Bangalore,-1,-1,2000,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1
14,AVP - Data Scientist,₹3L - ₹10L (Glassdoor Est.),"Job Title : AVP - Data Scientist
Location: Noida
About Barclays
Barclays is a British universal bank. We are diversified by business, by different types of customers and clients, and by geography. Our businesses include consumer banking and payments operations around the world, as well as a top-tier, full service, global corporate and investment bank, all of which are supported by our service company which provides technology, operations and functional services across the Group.
Risk and Control Objective
Ensure that all activities and duties are carried out in full compliance with regulatory requirements, Enterprise Wide Risk Management Framework and internal Barclays Policies and Policy Standards.

































Show More
Report",4.0,"Barclays
4.0",New Delhi,-1,-1,1690,Company - Public,Banking & Lending,Finance,$10+ billion (USD),-1
15,AVP - Data Scientist,₹3L - ₹10L (Glassdoor Est.),"Job Title : AVP - Data Scientist
Location: Noida
About Barclays
Barclays is a British universal bank. We are diversified by business, by different types of customers and clients, and by geography. Our businesses include consumer banking and payments operations around the world, as well as a top-tier, full service, global corporate and investment bank, all of which are supported by our service company which provides technology, operations and functional services across the Group.
Risk and Control Objective
Ensure that all activities and duties are carried out in full compliance with regulatory requirements, Enterprise Wide Risk Management Framework and internal Barclays Policies and Policy Standards.

































Show More
Report",4.0,"Barclays
4.0",New Delhi,-1,-1,1690,Company - Public,Banking & Lending,Finance,$10+ billion (USD),-1
16,Data Scientist,₹3L - ₹10L (Glassdoor Est.),"JD for Data Scientist Responsibilities & Skills · PhD in Statistics, Math or Computer Science is preferred. Must have at least a Master degree with 5+ years of experience. · Excellent statistical analysis skills to identify patterns in data. This includes having a keen sense of pattern detection and anomaly detection. · Excellent understanding of machine learning techniques and algorithms, such as k-NN, · Naive Bayes, SVM, Decision Forests, etc. · Must be able to implement algorithms and statistical concepts to build predictive models. · In-depth experience with common data science tools such as TensorFlow, PyTorch or equivalent. · Proficient in programming with python, SQL and No-SQL databases; and data science libraries such as nltk, numpy, scipy and many others · Communicate with global English speaking teams. · Expertise in collaborating with multi-disciplinary teams of business analysts, data scientists, subject matter experts, and developers For more information Contact HR Ranjini 7760520330
Job Type: Full-time

Show More
Report",-1,Trovech Infotech Pvt Ltd,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
17,Sr Machine Learning Engineer,₹3L - ₹10L (Glassdoor Est.),"Sr Machine Learning Engineer

Join our Digital Solutions team

Are you a Sr Machine Learning Engineer looking for an innovative change?

Join our Bently Nevada Team

Baker Hughes Bently Nevada offers a plant-wide, holistic suite of machine condition monitoring and protection hardware, software and services that help achieve the highest level of asset reliability possible. Our team takes ownership in designing and implementing web/cloud applications.





Show More
Report",3.9,"Baker Hughes
3.9",Bangalore,-1,-1,1907,Company - Public,Energy & Utilities,"Energy, Mining, Utilities",$10+ billion (USD),-1
18,Sr Machine Learning Engineer,₹3L - ₹10L (Glassdoor Est.),"Sr Machine Learning Engineer

Join our Digital Solutions team

Are you a Sr Machine Learning Engineer looking for an innovative change?

Join our Bently Nevada Team

Baker Hughes Bently Nevada offers a plant-wide, holistic suite of machine condition monitoring and protection hardware, software and services that help achieve the highest level of asset reliability possible. Our team takes ownership in designing and implementing web/cloud applications.





Show More
Report",3.9,"Baker Hughes
3.9",Bangalore,-1,-1,1907,Company - Public,Energy & Utilities,"Energy, Mining, Utilities",$10+ billion (USD),-1
19,Data scientist,₹3L - ₹10L (Glassdoor Est.),"Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understandi
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in ng of machine learning and operations research
Knowledge of R, SQL and Python;
Experience using business intelligence tools
graduate degree in Data Science or other quantitative field is preferred.

Organization: Portfolio Companies
Show More
Report",4.1,"Siemens
4.1",Bangalore,-1,-1,1847,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),-1
20,Assistant Data Scientist,₹3L - ₹10L (Glassdoor Est.),"Job Responsibilities:
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data.
Analyze large amounts of information to discover trends and patterns
Helping develop reports and analysis.
Present information using data visualization techniques.
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
Evaluating changes and updates to source production systems.
Show More
Report",-1,Ascendeum,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
21,Data Science Trainer Jobs,₹3L - ₹10L (Glassdoor Est.),"Data Science, Machine Learning, Python, Training, Trainer, Tableau, Deep learning, NLP, .Net, Java, Coding
Strong knowledge of Python. Understand multiple analytical functions.
Knowledge of machine learning
*
Job Type: Full-time
Salary: ₹50,000.00 - ₹80,000.00 per month
Benefits:
Cell phone reimbursement

Show More
Report",-1,SMEClabs,Cochin,-1,-1,-1,-1,-1,-1,-1,-1
22,Data Science Trainer Jobs,₹3L - ₹10L (Glassdoor Est.),"Data Science, Machine Learning, Python, Training, Trainer, Tableau, Deep learning, NLP, .Net, Java, Coding
Strong knowledge of Python. Understand multiple analytical functions.
Knowledge of machine learning
*
Job Type: Full-time
Salary: ₹50,000.00 - ₹80,000.00 per month
Benefits:
Cell phone reimbursement

Show More
Report",-1,SMEClabs,Cochin,-1,-1,-1,-1,-1,-1,-1,-1
23,Data Scientist,₹3L - ₹10L (Glassdoor Est.),"Responsibilities:
 Undertaking data collection, preprocessing and analysis
 Building models to address business problems
 Presenting information using data visualization techniques
 Identify valuable data sources and automate collection processes
 Undertake preprocessing of structured and unstructured data
 Analyze large amounts of information to discover trends and patterns
 Build predictive models and machine-learning algorithms
Show More
Report",-1,TheHive,Remote,-1,-1,-1,-1,-1,-1,-1,-1
24,Data Scientist - All Levels,₹3L - ₹10L (Glassdoor Est.),"Data Scientist - All Levels
Located in Bangalore, Karnataka, India
ABOUT THIS JOB
Salary: N.A
Employment Type: Full Time
Industry : Financial services
Company Type: Private


Show More
Report",3.8,"Greenizon Agritech Consultancy
3.8",Bangalore,-1,-1,2017,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable,-1
25,Data Scientist - All Levels,₹3L - ₹10L (Glassdoor Est.),"Data Scientist - All Levels
Located in Bangalore, Karnataka, India
ABOUT THIS JOB
Salary: N.A
Employment Type: Full Time
Industry : Financial services
Company Type: Private


Show More
Report",3.8,"Greenizon Agritech Consultancy
3.8",Bangalore,-1,-1,2017,Company - Private,Banking & Lending,Finance,Unknown / Non-Applicable,-1
26,Data Scientist,₹3L - ₹10L (Glassdoor Est.),"JD for Data Scientist Responsibilities & Skills
· PhD in Statistics, Math or Computer Science is preferred.
Must have at least a Master degree with 5+ years of experience.
· Excellent statistical analysis skills to identify patterns in data. This includes having a keen sense of pattern detection and anomaly detection.
· Excellent understanding of machine learning techniques and algorithms, such as k-NN,
· Naive Bayes, SVM, Decision Forests, etc.
· Must be able to implement algorithms and statistical concepts to build predictive models. ·

Show More
Report",-1,Trovech Infotech Private Limited,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
27,Data Scientist,₹3L - ₹10L (Glassdoor Est.),"JD for Data Scientist Responsibilities & Skills
· PhD in Statistics, Math or Computer Science is preferred.
Must have at least a Master degree with 5+ years of experience.
· Excellent statistical analysis skills to identify patterns in data. This includes having a keen sense of pattern detection and anomaly detection.
· Excellent understanding of machine learning techniques and algorithms, such as k-NN,
· Naive Bayes, SVM, Decision Forests, etc.
· Must be able to implement algorithms and statistical concepts to build predictive models. ·

Show More
Report",-1,Trovech Infotech Private Limited,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
28,Intership for statistics / data science students - with stipend,₹3L - ₹10L (Glassdoor Est.),"The Datahut internship program provides students a hands-on experience working in the data industry. Datahut works on some of the challenging problems in the web data integration industry. We work with some of the largest companies on the planet, helping them get data for their operations. The marketing team at Datahut helps educate decision-makers at large enterprises through our content and creatives.

We're inviting students with an excellent understanding of statistics and data to work on some exciting data problems. If you have good pattern recognition skills and data analysis skills - you're most welcome.

We get a lot of applications, and we obviously need to filter people. Here is a test for you. You're given the pricing data of two brands, Adidas and Nike. The standard deviation of pricing for Adidas is ""x,"" and for Nike is ""3x"". How would you interpret the pricing data? Include your answer in the application as a cover letter. You're free to be as creative as you can.
Show More
Report",4.6,"Datahut
4.6",Cochin,-1,-1,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
29,Data scientist,₹3L - ₹10L (Glassdoor Est.),"Greetings of the day!
Package: 4LPA - 11LPA
The great opportunity for reason graduate with 100% placement opportunity specifically in all the IT Field.
The course duration is 6 months....
You will be given high level knowledge and with paid intership....
This is the right time join the course and success in life with great package
Job Types: Full-time, Fresher
Show More
Report",-1,Vingsfire pvt ltd,Hyderābād,-1,-1,-1,-1,-1,-1,-1,-1
30,Data Scientist,₹9L - ₹17L (Employer Est.),"You’re experienced Regression, Classification, Ensemble Methods, Deep Learning, NLP, and Reinforcement Learning. • Any one programming language (Python, R, Java, Scala, etc.). • strong hands-on skills in sourcing, cleaning, manipulating, and analyzing large volumes of data using distributed computing platform • Run large-scale statistical A/B tests to evaluate the performance of machine learning and statistical models in SEM applications. • Process complicated and large-scale datasets on distributed computing platforms using queries, extract insights from data, predict future trends, and optimize business metrics. • Build compelling data visualizations and interactive dashboards for monitoring. • Communicate new algorithm suggestions, performance results and business insights to both technical and business teams, internally and externally. • Experience exploring data, building models, and analyzing performance.
Job Type: Full-time
Salary: ₹900,000.00 - ₹1,700,000.00 per year
Show More
Report",-1,Nexus pro services,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
31,Technology Analyst: Data Science | Machine Learning,₹9L - ₹17L (Employer Est.),"Responsibilities
A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction. • You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain. • You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews. • You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes. • You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!
Additional Responsibilities:
• Knowledge of more than one technology • Basics of Architecture and Design fundamentals • Knowledge of Testing tools • Knowledge of agile methodologies • Understanding of Project life cycle activities on development and maintenance projects • Understanding of one or more Estimation methodologies, Knowledge of Quality processes • Basics of business domain to understand the business requirements • Analytical abilities, Strong Technical Skills, Good communication skills • Good understanding of the technology and domain • Ability to demonstrate a sound understanding of software quality assurance principles, SOLID design principles and modelling methods • Awareness of latest technologies and trends • Excellent problem solving, analytical and debugging skills


Preferred Skills:
Python,Machine Learning->Data Science
Educational Requirements
Bachelor of Engineering
Show More
Report",3.9,"Infosys Limited
3.9",Bangalore,-1,-1,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),-1
32,Data Scientist,₹9L - ₹17L (Employer Est.),"The required skills are : Graduate degree in Statistics, Math or any other with strong analytical background .
Must have exposure to Big Data analytics.. Need Strong mathematical background (calculus, linear algebra, probability and statistics). Applied Machine Learning experience (regression and classification, supervised, and unsupervised learning) is a plus.
Must be a quick learner and capable to solve complex problems in multiple domains.
Skill Set : Language - C#,C++, Python or R, Scripting - Java script
Position Type : Permanent
Qualification : Any Graduate degree with analytics
Show More
Report",-1,SUMMIT SOLUTIONS,Cannanore,-1,-1,-1,-1,-1,-1,-1,-1
33,Staff/Sr Software Engineer - Machine Learning,₹9L - ₹17L (Employer Est.),"About the Role

About Customer Obsession ML team:

Customer Obsession ML team’s mission is to leverage the vast and varied data to develop intelligence that can make our customers’ support experience more efficient, personalized and effective. We work on a range of projects such as accurately identifying a customer’s need based on the contact text and trip signals, optimizing routing of contacts to support representatives for fastest resolution, intelligently escalating contacts that are related to safety or other time critical issues, and completely automating the support experience whenever possible. In addition to classic ML prediction models, we also work on latest deep learning language models, time series modeling, and causal inference. We own the entire ML lifecycle from data exploration and model development to deployment and monitoring the model in production.


Show More
Report",4.4,"Uber
4.4",Hyderābād,-1,-1,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
34,Data Science and Business Analytics,₹9L - ₹17L (Employer Est.),"We are looking for a Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.
Primary Responsibilities:
Involve in big data technologies and prototype solutions to improve our data processing and analytics architecture
Show More
Report",-1,Zotto Limited,New Delhi,-1,-1,-1,-1,-1,-1,-1,-1
35,Sr. AI/Data Scientist,₹9L - ₹17L (Employer Est.),"Be part of team using advanced real-time scaled data aggregation and analysis platform. Learn new tools and techniques. Build Dashboards that real people use and love.
About Company: Lotus Interworks Inc is an advanced technology company with leadership team form Massachusetts Institute of Technology (MIT), Stanford University, and Harvard University. Our product Simplia is re-inventing Online Local Services Marketplaces, with deep technology and strong leadership and strategy in place.
Leadership Team:
Chairman: Ray Stata Founder of Analog Devices (ADI NASDAQ),
President & CEO: B Gopinath. He started as a scientist at Mathematics research center of AT&T bell laboratories. He holds several fundamental patents in communications and computer technologies.
Bills career includes more than 30yrs of distinguished accomplishments, Including roles as President & CEO of Abine, Radialpoint, and as EVP of McAfee's Worldwide Consumer Business.

Show More
Report",3.8,"Lotus Interworks Inc
3.8",Mumbai,-1,-1,1997,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD),-1
36,Data Scientist,₹9L - ₹17L (Employer Est.),"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial services to ensure that everyone, regardless of background or economic standing, has access to affordable, convenient, and secure products and services to take control of their financial lives.
Job Description Summary: Rounded data analyst/scientist with quantitative thinking and deep understanding of AI/ML models
Job Description:
What you need to know about the role-
You will be responsible for designing and developing the platform architected for scale, which is capable of supporting FP&A teams with their forecasting needs for all Key financials KPIs







Show More
Report",4.2,"PayPal
4.2",Bangalore,-1,-1,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),-1
37,Data Scientist,₹9L - ₹17L (Employer Est.),"Primary Objectives and Responsibilities
· Data mining or extracting usable data from valuable data sources
· Using machine learning toolsto select features, create and optimize classifiers
· Carrying out preprocessing of structured and unstructured data
· Enhancing data collectionprocedures to include all relevant information for developing analytic systems
· Processing, cleansing, and validating the integrity of data to be used for analysis
· Analyzing large amounts of information to find patterns and solutions



Show More
Report",4.7,"SPAATech Solutions India Pvt Ltd
4.7",Calcutta,-1,-1,2010,Company - Private,Software Development,Information Technology,$2 to $5 billion (USD),-1
38,Jr Data Analyst | Jr Data Scientist,₹9L - ₹17L (Employer Est.),"Skills and Experience (0 - 2 years):
Graduate with Strong mathematical and statistical skills and understanding
Prefer with some Development and enhancement experience of machine learning and statistical models.
Some experience in working with Python, R, SQL
Some experience in working with libraries in Python
Familiarity with NLP(Natural language processing)
Be flexible and ready to learn
Apply to careers@aibridgeml.com
Show More
Report",4.9,"AIBridge ML
4.9",Hyderābād,-1,-1,2019,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1
39,Data scientist,₹9L - ₹17L (Employer Est.),"Roles and responsibilities:
1. Data processing, cleaning and validating the integrity of data to be used for analytics

2. Data extraction using valuable data sources

3. Perform initial investigation and exploratory data analysis

4. Analyzing large amount of data to find patterns and solution

5. Build predictive machine learning models using alogorithms like regression, tree based, boosting etc

6. Develop econometric and statistical models for various problems including projections, classification, clustering, pattern analysis, sampling, simulations, and so forth.

7. Propose solutions and strategies to tackle complex business problems
Show More
Report",4.4,"ICICI Prudential Life
4.4",Mumbai,-1,-1,2001,Private Practice / Firm,Insurance Carriers,Insurance,$10+ billion (USD),-1
40,Supply Chain Network Data & Analytics Specialist,₹9L - ₹17L (Employer Est.),"Relocation Assistance Offered Within Country
# 141580 - Mumbai, Maharashtra, India

About Colgate-Palmolive:
Do you want to come to work with a smile and leave with one as well? In between those smiles, your day consists of connecting with others across the world, full of stimulating discussions, and making impactful contributions!
If this is how you see your career, Colgate is the place to be! Our diligent household brands, dedicated employees, and sustainability commitments make us a company passionate about building a future to smile about for our employees, consumers, and surrounding communities. We win as a global organization by continually learning and collaborating. The pride in our brand fuels a workplace that encourages creative thinking champions experimentation and promotes authenticity which has contributed to our enduring success. If you want to work for a company that lives by its values, then give your career a reason to smile...every single day.






Show More
Report",4.2,"Colgate-Palmolive
4.2",Mumbai,-1,-1,1806,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD),-1
41,Data Scientist,₹9L - ₹17L (Employer Est.),"Aufgaben
Qualification – B.E / Master of Engineering

Education – Computer Science

Experience – 8 – 14 years



A Data Scientist is responsible for using data to identify trends and patterns to build data models and generate insights that help organizations make better decisions. They must be able to interpret and analyze large datasets, develop predictive models, and effectively communicate their findings to various stakeholders. Data Scientists must have strong technical and analytical skills, including familiarity with programming languages such as Python and R, as well as data mining and visualization tools. They must also possess domain knowledge in the industry in which they are working, and be able to effectively collaborate with other stakeholders such as software engineers, product owners, and business analysts. Responsibilities include:
Show More
Report",4.0,"Mercedes-Benz Research and Development India Private Limited
4.0",Bangalore,-1,-1,1996,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),-1
42,Data Scientist,₹9L - ₹17L (Employer Est.),"ASSOCIATE DATA SCIENTIST
JOB DESCRIPTION :
Job Role and Summary :
We are Leaz - looking for a Associate Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem- solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
A. Duties and Responsibilities :
Show More
Report",-1,LEAZ EDUTECH OPC PVT LTD,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
